"","name","releasedate"
"191","Aankh Ki Sharam","1943"
"192","Aankh Micholi","1963"
"193","Aankh Micholi","1972"
"194","Aankhen","2002"
"195","Aankhen","1993"
"196","Aankhen","1968"
"197","Aankhen","1950"
"198","Aankhen 2","2016"
"199","Aankhin Dekhi","1978"
"200","Aankhon Annkhon Mein","1972"
"201","Aankhon Mein Tum Ho","1997"
"202","Aansoo","1953"
"203","Aansoo Aur Muskan","1971"
"204","Aansoo Ban Gaye Phool","1969"
"205","Aansoo Bane Angaarey","1993"
"206","Aantiya","1993"
"207","Aao Pyar Karen","1964"
"208","Aao Pyar Karen","1983"
"209","Aao Pyar Karen","1994"
"210","Aao Wish Karein","2009"
"211","Aap Aye Bahaar Aayee","1971"
"212","Aap Beeti","1948"
"213","Aap Beeti","1976"
"214","Aap Jaisa Koi Nahin","2011"
"215","Aap Ka Pyar","1991"
"216","Aap Ka Surroor <U+0096> The Moviee","2007"
"217","Aap Kaa Surroor 2 <U+0096> Ae Himesh Bhai","2011"
"218","Aap Ke Deewane","1980"
"219","Aap Ke Liye Hum","2011"
"220","Aap Ke Sath","1986"
"221","Aap Ki Kasam","1974"
"222","Aap Ki Khatir","2006"
"223","Aap Ki Khatir","1977"
"224","Aap Ki Maarzi","1939"
"225","Aap Ki Parchhaiyan","1964"
"226","Aap Mujhe Achche Lagne Lage","2002"
"227","Aap To Aise Na The","1980"
"228","Aapas Ki Baat","1982"
"229","Aapko Pehle Bhi Kahin Dekha Hai","2003"
"230","Aaplee Maanse","1993"
"231","Aar Paar","1985"
"232","Aar Paar","1954"
"233","Aar Ya Paar","1997"
"234","Aarakshan","2011"
"235","Aaram","1951"
"236","Aarambh","1976"
"237","Aarilirindhu Aruvathu Varai","1979"
"238","Aarohan","1985"
"239","Aarop","1974"
"240","Aarti","1962"
"241","Aarya","2007"
"242","Aarzoo","1999"
"243","Aas","1953"
"244","Aas Ka Panchhi","1961"
"245","Aas Paas","1981"
"246","Aasha","1980"
"247","Aashayein","2010"
"248","Aashiana","1976"
"249","Aashiana","1986"
"250","Aashiq","1962"
"251","Aashiq","2001"
"252","Aashiq Awara","1993"
"253","Aashiq Banaya Aapne","2005"
"254","Aashiq Hoon Baharon Ka","1977"
"255","Aashiqon Ko Jalana Buri Baat Hai","2011"
"256","Aashiqui <U+0096> A Burning Love Story","2011"
"257","Aashiqui (1990)","1990"
"258","Aashiqui 2","2013"
"259","Aashiqui 3","2017"
"260","Aashiqui.in","2011"
"261","Aasma-The sky is the limit","2009"
"262","Aasman","1952"
"263","Aasman","1984"
"264","Aasman Mahal","1965"
"265","Aasman Se Gira","1992"
"266","Aasman Se Ooncha","1989"
"267","Aasra","1966"
"268","Aasra","2016"
"269","Aastha: In The Prison Of Spring","1997"
"270","Aatank","1996"
"271","Aatank Hi Aatank","1995"
"272","Aatankraj","2000"
"273","Aatish","1979"
"274","Aatish","1994"
"275","Aatma","2013"
